City,Lat,Lng,Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Saskylakh,71.9167,114.0833,-9.81,99,87,4.92,RU,1635091434
Villa del Rosario,7.8339,-72.4742,90.9,43,88,4.83,CO,1635091468
Kemijärvi,66.7131,27.4306,22.05,98,100,2.44,FI,1635091468
Saldanha,-33.0117,17.9442,60.6,68,0,22.19,ZA,1635091469
Port Lincoln,-34.7333,135.8667,52.56,72,2,12.01,AU,1635091469
Puerto Palomas,31.7667,-107.6167,65.53,35,52,9.8,MX,1635091469
Tura,25.5198,90.2201,68.31,94,0,2.13,IN,1635091470
Economy,40.6001,-80.2248,53.51,90,90,1.01,US,1635091470
Egvekinot,66.3167,-179.1667,4.95,87,71,7.43,RU,1635091471
Ouallam,14.3188,2.0866,100.36,17,87,12.64,NE,1635091471
Saint George,37.1041,-113.5841,60.66,48,1,11.5,US,1635091437
Laguna,38.421,-121.4238,55.89,93,90,5.99,US,1635091471
Teya,60.3778,92.6267,35.65,95,100,9.73,RU,1635091472
Bengkulu,-3.8004,102.2655,76.14,90,85,5.57,ID,1635091472
Ilebo,-4.3167,20.5833,79.43,73,98,4.03,CD,1635091472
Port-Cartier,50.0334,-66.8654,49.75,81,100,10.94,CA,1635091299
Mahon,39.8885,4.2658,68.56,83,40,9.22,ES,1635091473
Northam,51.0333,-4.2167,58.91,85,4,14.12,GB,1635091473
Baltay,52.4652,46.6308,41.7,65,33,7.16,RU,1635091473
Ancud,-41.8697,-73.8203,51.69,96,100,16.87,CL,1635091308
Tsaratanana,-16.7833,47.65,77.09,75,92,6.38,MG,1635091474
Arraial do Cabo,-22.9661,-42.0278,69.66,94,75,8.05,BR,1635091474
Bredasdorp,-34.5322,20.0403,64.27,49,0,11.48,ZA,1635091418
Chirongui,-12.9319,45.1483,80.53,83,12,5.5,YT,1635091475
Kajaani,64.2273,27.7285,28.45,86,75,9.22,FI,1635091476
Mokolo,10.7398,13.8019,86.68,35,41,4.0,CM,1635091476
Yellowknife,62.456,-114.3525,41.88,85,90,18.41,CA,1635091173
Najrān,17.4924,44.1277,73.38,16,0,7.65,SA,1635091477
Edgewater,28.9889,-80.9023,82.89,65,40,9.22,US,1635091477
Santa Isabel Rio Negro,-0.4139,-65.0192,97.09,42,87,3.31,BR,1635091477
Norman Wells,65.282,-126.8329,19.44,93,90,3.44,CA,1635091478
Novikovo,51.1537,37.8879,42.51,66,99,12.3,RU,1635091478
Linxia Chengguanzhen,35.6003,103.2064,49.14,64,97,0.76,CN,1635091479
Kavieng,-2.5744,150.7967,81.36,79,71,11.07,PG,1635091479
Airai,-8.9266,125.4092,62.55,89,97,0.45,TL,1635091480
Bandarbeyla,9.4942,50.8122,79.77,72,27,9.33,SO,1635091480
North Myrtle Beach,33.816,-78.68,76.06,72,58,5.01,US,1635091201
Alto Araguaia,-17.3147,-53.2153,78.87,66,100,4.74,BR,1635091481
Khovd,48.0056,91.6419,35.13,28,3,2.68,MN,1635091481
Narsaq,60.9167,-46.05,34.02,46,100,3.65,GL,1635091481
Khatanga,71.9667,102.5,0.12,90,87,15.88,RU,1635091435
Bethel,41.3712,-73.414,54.0,67,20,0.0,US,1635091482
Hithadhoo,-0.6,73.0833,83.55,71,57,14.32,MV,1635091417
Sinnamary,5.3833,-52.95,80.89,87,56,9.51,GF,1635091482
Hualmay,-11.0964,-77.6139,67.69,70,37,10.18,PE,1635091483
Gillette,44.2911,-105.5022,44.6,84,1,8.01,US,1635091483
Gananoque,44.3334,-76.1661,52.23,72,69,9.04,CA,1635091483
Tondano,1.3038,124.9112,68.09,93,61,0.45,ID,1635091484
Canmore,51.0834,-115.3521,32.81,78,27,4.74,CA,1635091463
Lavrentiya,65.5833,-171.0,22.68,83,100,10.07,RU,1635091434
Mattru,7.6244,-11.8332,83.79,78,91,2.39,SL,1635091484
Bay Roberts,47.5999,-53.2648,61.56,93,100,8.01,CA,1635091485
Tibiri,13.5627,7.0485,98.69,10,43,10.98,NE,1635091485
Berlevåg,70.8578,29.0864,31.8,68,98,8.5,NO,1635091486
Simao,22.7886,100.9748,61.09,97,89,1.68,CN,1635091486
Mount Isa,-20.7333,139.5,78.57,53,75,8.05,AU,1635091486
Zhalantun,48.0,122.7167,40.42,52,24,4.34,CN,1635091487
General Pico,-35.6566,-63.7568,75.27,19,0,14.5,AR,1635091487
Champerico,14.3,-91.9167,86.83,75,88,4.5,GT,1635091487
Moengo,5.6167,-54.4,84.04,75,48,6.2,SR,1635091488
Monrovia,6.3005,-10.7969,81.68,74,89,6.76,LR,1635091252
Cairns,-16.9167,145.7667,70.34,85,40,4.61,AU,1635091206
Casimiro de Abreu,-22.4806,-42.2042,89.08,55,96,3.38,BR,1635091268
Port Alfred,-33.5906,26.891,62.11,65,30,10.27,ZA,1635091488
Mangan,27.5167,88.5333,65.37,79,44,4.25,IN,1635091489
Kahului,20.8947,-156.47,73.51,91,40,11.5,US,1635091489
Arrondissement de Sedan,49.6667,5.0,52.18,74,0,4.59,FR,1635091489
Padang,-0.9492,100.3543,77.05,92,100,0.81,ID,1635091252
Kismayo,-0.3582,42.5454,78.94,83,34,11.41,SO,1635091490
Kamenka,51.3223,42.7678,42.85,59,92,7.99,RU,1635091490
Abu Dhabi,24.4667,54.3667,85.87,57,0,9.15,AE,1635091382
Mata,40.683,-7.4592,67.93,31,0,7.29,PT,1635091491
Kalanguy,51.0167,116.5167,30.51,74,76,2.75,RU,1635091491
Tasiilaq,65.6145,-37.6368,32.16,92,100,30.87,GL,1635091491
Koslan,63.4564,48.8989,29.01,84,100,6.24,RU,1635091492
Kita,13.0349,-9.4895,88.21,46,88,6.11,ML,1635091492
Evensk,61.95,159.2333,6.91,77,13,6.82,RU,1635091492
Port Elizabeth,-33.918,25.5701,63.1,56,7,7.56,ZA,1635091212
Pisco,-13.7,-76.2167,66.02,80,12,4.97,PE,1635091274
Lázaro Cárdenas,17.9583,-102.2,78.98,85,100,3.91,MX,1635091203
Esim,4.8699,-2.2405,80.62,81,90,8.57,GH,1635091493
Halmstad,56.6745,12.8568,49.98,77,0,13.8,SE,1635091493
Sur,22.5667,59.5289,82.56,62,0,1.16,OM,1635091494
Puerto El Triunfo,13.2833,-88.55,84.36,70,36,3.85,SV,1635091494
Ţahţā,26.7693,31.5021,78.26,24,0,14.81,EG,1635091494
Ribeira Grande,38.5167,-28.7,70.2,60,20,13.8,PT,1635091495
São Filipe,14.8961,-24.4956,80.56,65,33,8.41,CV,1635091495
George Town,5.4112,100.3354,77.94,93,40,4.61,MY,1635091284
Torbay,47.6666,-52.7314,61.86,94,100,16.64,CA,1635091495
Vanimo,-2.6741,141.3028,78.76,87,100,4.32,PG,1635091496
Nioki,-2.7167,17.6833,81.68,75,72,1.48,CD,1635091496
Saint Paul Harbor,57.79,-152.4072,41.67,89,47,7.85,US,1635091321
Clyde River,70.4692,-68.5914,14.95,76,30,6.46,CA,1635091496
Tamiahua,21.2667,-97.45,81.3,70,69,1.97,MX,1635091497
Freeport,40.6576,-73.5832,57.36,58,75,1.01,US,1635091426
Cidreira,-30.1811,-50.2056,68.31,51,6,15.77,BR,1635091497
Margate,51.3813,1.3862,54.16,74,67,1.99,GB,1635091497
Bitam,2.076,11.5007,74.5,92,100,2.71,GA,1635091498
Kalaswala,32.2009,74.6491,66.16,82,53,7.05,PK,1635091498
Fortuna,40.5982,-124.1573,58.39,75,75,3.0,US,1635091498
Seal Beach,33.7414,-118.1048,61.14,87,75,1.99,US,1635091499
Borzya,50.3833,116.5167,28.0,78,98,2.62,RU,1635091499
Otjimbingwe,-22.35,16.1333,84.31,13,0,20.71,NA,1635091500
Pevek,69.7008,170.3133,7.54,94,100,1.01,RU,1635091500
Coron,11.9986,120.2043,79.23,86,95,11.12,PH,1635091500
Chenzhou,25.8,113.0333,55.44,86,8,1.39,CN,1635091234
Shenjiamen,29.9576,122.298,64.51,84,98,14.25,CN,1635091501
Tadine,-21.55,167.8833,70.47,83,36,12.06,NC,1635091502
Uvat,59.1433,68.8953,40.39,91,100,3.15,RU,1635091503
Tsimmerbude,54.675,20.1347,46.45,76,100,8.52,RU,1635091503
Upernavik,72.7868,-56.1549,16.7,66,100,9.66,GL,1635091504
Souillac,-20.5167,57.5167,76.35,77,11,12.95,MU,1635091505
Shambu,9.5667,37.1,53.47,77,44,1.23,ET,1635091506
Iqaluit,63.7506,-68.5145,31.69,80,51,8.99,CA,1635091506
Jamestown,42.097,-79.2353,48.88,89,75,5.99,US,1635091224
Anadyr,64.75,177.4833,-11.2,98,69,8.41,RU,1635091270
Isla Vista,34.4133,-119.861,61.11,77,1,0.0,US,1635091507
Cedral,23.8,-100.7333,70.29,57,99,3.04,MX,1635091507
Comodoro Rivadavia,-45.8667,-67.5,75.06,25,100,42.57,AR,1635091508
Cassilândia,-19.1133,-51.7342,76.57,73,100,0.72,BR,1635091508
Luangwa,-15.6167,30.4167,96.13,19,40,4.68,ZM,1635091509
East London,-33.0153,27.9116,63.48,61,76,11.88,ZA,1635091509
Chui,-33.6971,-53.4616,67.08,40,0,8.05,UY,1635091509
Ola,59.5833,151.2833,23.74,64,38,3.58,RU,1635091510
Balkanabat,39.5108,54.3671,62.08,59,0,6.02,TM,1635091510
Tsiroanomandidy,-18.7667,46.0333,82.53,26,33,13.0,MG,1635091510
Walvis Bay,-22.9575,14.5053,62.1,73,23,7.7,NA,1635091511
Deputatsky,69.3,139.9,0.16,98,100,0.13,RU,1635091511
Port Blair,11.6667,92.75,80.69,79,12,5.41,IN,1635091511
Luanda,-8.8368,13.2343,80.6,74,20,10.36,AO,1635091318
Kaeo,-35.1,173.7833,60.33,97,95,2.95,NZ,1635091512
Castro,-24.7911,-50.0119,60.06,98,100,5.3,BR,1635091270
Cayenne,4.9333,-52.3333,85.08,81,75,8.01,GF,1635091512
Sam Roi Yot,12.2708,99.872,76.53,91,72,7.25,TH,1635091513
Itarema,-2.9248,-39.9167,88.32,54,74,17.31,BR,1635091513
Puerto Ayora,-0.7393,-90.3518,75.16,85,99,9.1,EC,1635091513
Mahébourg,-20.4081,57.7,76.24,76,18,14.18,MU,1635091514
Hailar,49.2,119.7,34.52,58,4,6.33,CN,1635091514
Longyearbyen,78.2186,15.6401,21.04,73,75,9.22,SJ,1635091514
Kruisfontein,-34.0033,24.7314,60.89,53,1,8.12,ZA,1635091422
Olesno,50.877,18.4209,43.09,63,76,6.69,PL,1635091515
Ormond Beach,29.2858,-81.0559,82.51,63,40,8.05,US,1635091515
Manavālakurichi,8.1333,77.3,80.69,84,50,10.45,IN,1635091515
Camabatela,-8.1881,15.375,72.59,78,93,4.7,AO,1635091516
Omalur,11.741,78.0456,75.31,88,100,3.78,IN,1635091516
Dalvik,65.9702,-18.5286,35.53,97,100,4.94,IS,1635091516
Khani,41.9563,42.9566,47.77,74,100,3.49,GE,1635091517
Lakhdenpokh'ya,61.5198,30.1992,30.81,77,100,5.19,RU,1635091517
Mount Gambier,-37.8333,140.7667,49.78,57,84,8.16,AU,1635091517
Tegul'det,57.3064,88.1667,40.78,81,37,11.18,RU,1635091518
Ozernovskiy,51.5,156.5167,38.5,73,92,15.26,RU,1635091518
Winslow,35.0242,-110.6974,57.96,48,1,1.99,US,1635091519
Vardø,70.3705,31.1107,35.58,64,40,13.8,NO,1635091519
Havre-St-Pierre,50.2334,-63.5986,48.58,83,100,7.96,CA,1635091271
Lagoa,39.05,-27.9833,65.79,65,8,9.35,PT,1635091520
Tautira,-17.7333,-149.15,73.42,93,100,5.82,PF,1635091520
Bowen,-20.0167,148.2333,75.96,76,91,4.63,AU,1635091520
Hong Kong,22.2855,114.1577,68.72,74,57,4.0,HK,1635091504
San Jerónimo,-11.9472,-75.2829,67.08,36,10,3.18,PE,1635091521
Faanui,-16.4833,-151.75,75.04,92,100,12.55,PF,1635091521
Jesolo,45.5331,12.6448,59.29,60,50,8.41,IT,1635091521
Maryville,35.7565,-83.9705,65.16,71,40,3.44,US,1635091407
Moree,-29.4667,149.85,60.82,41,99,6.91,AU,1635091522
Aksu,41.1231,80.2644,51.66,41,0,3.06,CN,1635091225
Umluj,25.0213,37.2685,79.52,67,2,9.04,SA,1635091522
New Norfolk,-42.7826,147.0587,44.58,68,100,3.0,AU,1635091523
Atyrau,47.1167,51.8833,48.22,71,0,6.71,KZ,1635091523
Kaitangata,-46.2817,169.8464,50.5,96,100,1.14,NZ,1635091524
Leningradskiy,69.3833,178.4167,9.54,95,100,7.11,RU,1635091524
Sandnessjøen,66.0217,12.6316,46.53,90,75,5.01,NO,1635091524
Hasaki,35.7333,140.8333,46.8,50,77,5.48,JP,1635091525
Dunhua,43.3725,128.2425,37.17,68,0,4.81,CN,1635091525
Washington,47.5001,-120.5015,45.45,86,100,2.44,US,1635091439
The Pas,53.8251,-101.2541,39.74,72,7,12.08,CA,1635091525
Chitose,42.8194,141.6522,36.16,100,20,1.14,JP,1635091526
Pangnirtung,66.1451,-65.7125,30.2,74,75,0.0,CA,1635091526
Olinda,-8.0089,-34.8553,83.93,65,40,11.5,BR,1635091526
Roquetas de Mar,36.7642,-2.6148,71.62,68,16,5.3,ES,1635091527
Katsuura,35.1333,140.3,57.31,58,96,6.98,JP,1635091527
Kupang,-10.1667,123.5833,79.57,83,95,3.91,ID,1635091527
Brae,60.3964,-1.353,53.51,87,59,14.63,GB,1635091528
Sept-Îles,50.2001,-66.3821,50.05,92,99,3.0,CA,1635091502
Shelburne,44.0787,-80.2041,48.13,68,11,7.7,CA,1635091380
Zhoucheng,35.9122,116.3117,53.19,63,0,5.12,CN,1635091528
Tongren,27.7172,109.1853,53.78,71,0,2.64,CN,1635091529
Vauvert,43.7,4.2833,70.05,49,0,4.61,FR,1635091529
Avera,33.194,-82.5271,71.73,48,98,6.24,US,1635091529
Flinders,-34.5833,150.8552,53.83,85,39,5.26,AU,1635091531
Quebo,11.3333,-14.9333,86.38,67,98,5.84,GW,1635091531
Muli,2.9167,73.5667,82.98,75,16,13.89,MV,1635091532
Manaure,11.7751,-72.4445,89.73,56,37,19.3,CO,1635091532
Xincheng,33.6333,115.1833,55.33,55,2,3.89,CN,1635091532
Mercer Island,47.5706,-122.2221,54.16,70,90,8.01,US,1635091532
Yabēlo,4.8833,38.0833,70.41,47,80,15.17,ET,1635091533
Irbit,57.6705,63.071,39.94,95,100,4.59,RU,1635091533
Praia da Vitória,38.7333,-27.0667,71.76,68,6,10.96,PT,1635091534
Aklavik,68.2191,-135.0107,19.4,93,40,4.61,CA,1635091534
Urucará,-2.5364,-57.76,89.22,61,95,4.83,BR,1635091534
Batemans Bay,-35.7167,150.1833,53.51,75,99,1.41,AU,1635091535
Rome,43.2128,-75.4557,52.34,74,1,3.44,US,1635091535
Dingle,10.9995,122.6711,75.78,92,94,3.4,PH,1635091535
Ilulissat,69.2167,-51.1,21.22,63,20,13.8,GL,1635091536
Rosarito,32.3333,-117.0333,61.72,71,98,1.79,MX,1635091536
Grindavik,63.8424,-22.4338,46.87,93,90,8.05,IS,1635091536
Bubaque,11.2833,-15.8333,82.44,72,100,5.82,GW,1635091537
Santa Cruz de la Sierra,-17.8,-63.1667,78.85,38,75,21.85,BO,1635091537
Kuala Terengganu,5.3302,103.1408,79.83,82,89,2.26,MY,1635091537
Kargasok,59.0556,80.8572,38.97,87,48,10.18,RU,1635091537
Pringsewu,-5.3582,104.9744,75.07,96,74,3.38,ID,1635091538
Toyooka,35.5333,134.8333,52.14,79,96,3.58,JP,1635091538
Lingao,19.9103,109.6859,72.18,76,93,6.29,CN,1635091539
Vostok,46.4856,135.8833,31.28,82,0,5.12,RU,1635091539
Leh,34.1667,77.5833,32.88,81,88,4.07,IN,1635091539
São Miguel do Araguaia,-13.275,-50.1628,93.0,39,69,5.73,BR,1635091540
Dingzhou,38.5131,114.9956,52.74,63,6,4.79,CN,1635091540
São Joaquim,-28.2939,-49.9317,59.16,58,76,9.4,BR,1635091540
Örnsköldsvik,63.2909,18.7153,34.75,100,90,3.44,SE,1635091541
Saint Anthony,45.0205,-93.218,43.93,65,1,1.99,US,1635091541
Martapura,-3.4167,114.85,78.89,94,20,2.3,ID,1635091541
Jinchang,38.4953,102.1739,48.52,48,79,5.37,CN,1635091542
Alice Springs,-23.7,133.8833,65.75,52,100,0.0,AU,1635091277
Cape Canaveral,28.4058,-80.6048,83.37,76,40,6.91,US,1635091260
Sibolga,1.7427,98.7792,76.24,89,99,1.95,ID,1635091542
Grand Gaube,-20.0064,57.6608,76.37,71,16,5.99,MU,1635091542
Kaseda-shirakame,31.4167,130.3167,64.74,74,100,10.25,JP,1635091543
Coyhaique,-45.5752,-72.0662,48.25,95,93,12.1,CL,1635091262
Lompoc,34.6391,-120.4579,57.45,80,75,8.05,US,1635091543
Trelew,-43.249,-65.3051,72.72,25,100,35.97,AR,1635091543
Ocampo,21.65,-101.5,62.96,48,82,3.51,MX,1635091544
Katherine,-14.4667,132.2667,88.12,48,40,10.36,AU,1635091544
Lahān,26.7296,86.4951,73.15,81,1,4.83,NP,1635091545
Ulety,51.3572,112.4849,32.97,80,20,5.59,RU,1635091545
Kaniv,49.7518,31.46,41.95,66,93,11.97,UA,1635091545
Miraflores,19.2167,-98.8083,63.32,71,98,3.02,MX,1635091545
Richards Bay,-28.783,32.0377,65.01,67,99,8.34,ZA,1635091546
Nanortalik,60.1432,-45.2371,35.28,69,53,10.42,GL,1635091546
Samarai,-10.6167,150.6667,80.38,84,26,9.95,PG,1635091546
Taldan,53.6667,124.8,32.02,87,24,0.94,RU,1635091547
Iberia,29.9502,-91.7507,74.26,88,90,5.75,US,1635091547
San Miguel de Tucumán,-26.8241,-65.2226,82.4,30,0,14.97,AR,1635091548
Kushiro,42.975,144.3747,43.81,85,0,5.23,JP,1635091548
Poum,-20.2333,164.0167,73.71,79,16,8.34,NC,1635091548
Westport,41.1415,-73.3579,55.71,69,5,1.01,US,1635091261
St. George's,12.0564,-61.7485,83.88,65,59,16.58,GD,1635091549
Gamba,-2.65,10.0,78.1,82,95,7.85,GA,1635091549
Carnarvon,-24.8667,113.6333,69.87,68,75,21.85,AU,1635091550
Dudinka,69.4058,86.1778,23.99,97,100,7.09,RU,1635091550
La Romana,18.4273,-68.9728,88.16,62,20,5.75,DO,1635091550
Almaty,43.25,76.95,35.51,81,0,4.47,KZ,1635091550
Fort Nelson,58.8053,-122.7002,31.95,90,45,1.9,CA,1635091551
Adrar,20.5022,-10.0711,95.63,16,6,2.13,MR,1635091413
Malabo,3.75,8.7833,81.21,82,41,8.1,GQ,1635091551
Belyy Yar,53.6039,91.3903,46.29,66,0,17.9,RU,1635091552
Gizo Government Station,-8.103,156.8419,81.93,75,38,4.29,SB,1635091552
Lakes Entrance,-37.8811,147.981,47.16,67,11,13.44,AU,1635091552
Malatya Province,38.5,38.0,46.45,34,0,6.91,TR,1635091553
Kostomuksha,64.571,30.5767,24.51,95,99,7.0,RU,1635091553
Kapit,2.0167,112.9333,73.89,99,100,0.51,MY,1635091553
Sergeevka,53.88,67.4158,51.48,35,100,21.61,KZ,1635091554
Dauriya,49.9333,116.8667,23.92,84,19,1.16,RU,1635091554
Dongsheng,39.8161,109.9776,44.78,36,86,4.18,CN,1635091554
Glebychevo,60.4387,28.7183,36.0,62,98,6.42,RU,1635091555
Boca do Acre,-8.7522,-67.3978,100.89,33,88,4.12,BR,1635091555
Yulara,-25.2406,130.9889,65.16,33,18,12.1,AU,1635091277
Dwārka,22.2394,68.9678,81.34,60,0,8.48,IN,1635091555
Saint-Philippe,-21.3585,55.7679,75.09,79,21,12.68,RE,1635091556
Eldorado,-23.7869,-54.2836,75.07,62,73,11.7,BR,1635091556
Cascais,38.6979,-9.4215,71.62,46,0,1.99,PT,1635091557
Banda Aceh,5.5577,95.3222,79.65,82,100,6.38,ID,1635091557
Fare,-16.7,-151.0167,74.61,94,100,10.45,PF,1635091557
Provideniya,64.3833,-173.3,19.18,82,45,6.89,RU,1635091558
Kisi,9.0833,3.85,87.4,57,69,3.6,NG,1635091558
Tomakomai,42.6369,141.6033,35.98,100,20,1.14,JP,1635091558
Roald,62.5833,6.1333,53.56,66,75,11.5,NO,1635091559
Turukhansk,65.8167,87.9833,30.18,94,100,14.16,RU,1635091559
Zugdidi,42.5088,41.8709,54.63,83,99,2.42,GE,1635091559
General Roca,-39.0333,-67.5833,75.61,25,1,34.11,AR,1635091560
Las Palmas,28.4204,-14.0131,72.39,64,20,11.5,ES,1635091560
Itapecerica,-20.4725,-45.1256,81.3,57,100,11.74,BR,1635091560
Usevya,-7.1,31.2333,84.99,33,60,1.72,TZ,1635091561
Geelong,-38.1471,144.3607,48.97,82,90,4.0,AU,1635091371
Eyl,7.9803,49.8164,79.61,76,1,12.46,SO,1635091561
San Patricio,28.017,-97.5169,83.53,66,4,9.24,US,1635091562
Bariloche,-41.1456,-71.3082,44.8,87,100,14.83,AR,1635091427
Lebu,-37.6167,-73.65,57.27,75,7,8.61,CL,1635091269
Tiksi,71.6872,128.8694,3.79,96,100,8.41,RU,1635091563
Voh,-20.9667,164.7,69.19,89,11,3.87,NC,1635091563
Makakilo City,21.3469,-158.0858,72.09,86,90,0.0,US,1635091358
Sangar,63.9242,127.4739,19.09,96,100,5.88,RU,1635091564
Smolenka,52.1352,113.4974,32.07,64,45,2.24,RU,1635091564
West Plains,36.7281,-91.8524,74.16,78,30,13.0,US,1635091355
Kloulklubed,7.0419,134.2556,81.1,71,18,6.98,PW,1635091565
Kharp,66.8014,65.8081,19.38,92,69,7.34,RU,1635091565
Srednekolymsk,67.45,153.6833,-9.81,97,100,2.59,RU,1635091566
Yerbogachën,61.2767,108.0108,34.16,97,100,11.18,RU,1635091566
Jizan,17.3333,42.6667,88.02,54,5,7.83,SA,1635091567
Kununurra,-15.7667,128.7333,82.38,69,19,4.61,AU,1635091567
Chimbote,-9.0853,-78.5783,68.16,72,67,8.79,PE,1635091567
Fairbanks,64.8378,-147.7164,25.38,87,75,0.0,US,1635091568
Sadon,42.8518,44.0037,41.58,67,73,7.58,RU,1635091568
Shimoda,34.6667,138.95,57.11,69,89,7.38,JP,1635091568
Ippy,6.2679,21.2247,78.33,82,80,1.95,CF,1635091569
Tazovsky,67.4667,78.7,26.64,93,100,14.05,RU,1635091569
Faya,18.3851,42.4509,64.92,66,5,5.57,SA,1635091570
Angoche,-16.2325,39.9086,79.3,80,0,17.94,MZ,1635091570
Teguise,29.0605,-13.564,73.62,50,20,13.8,ES,1635091571
Letterkenny,54.95,-7.7333,57.09,83,70,13.4,IE,1635091571
Kawalu,-7.3817,108.2082,74.52,95,96,2.51,ID,1635091571
Ranong,9.9658,98.6348,77.86,90,86,4.41,TH,1635091572
Corinth,37.9407,22.9573,65.53,80,100,6.98,GR,1635091572
Penticton,49.4806,-119.5858,48.04,87,90,0.0,CA,1635091529
